0,1373.35,64.9843,44.853
1,1389.4,64.5169,890.421
2,1378.48,64.6864,1732.49
3,1347.1,65.4831,3232.93
4,1259.59,64.5506,4707
5,1376.17,65.2161,5557.18
6,748.362,65.5898,5625.86
7,123.046,65.3391,5636.27
8,62.5294,64.8505,6224.62
9,58.2452,65.9288,6637.33
10,-17.1753,65.191,6897.94
11,44.5424,63.9725,7368.57
12,745.126,64.9447,7416.86
13,1272.38,65.2333,7442.64
14,1724.09,65.5181,7462.14
15,1765.58,64.7221,6875.01
16,1778.11,65.1664,6330.98
17,1798.93,65.0463,5648.26
18,-941.703,74.5281,6953.4
19,-1296.39,74.677,6437.73
20,-2025.3,74.666,5597.95
21,-2831.54,64.7462,5631.13
22,-2858.42,65.2142,7027.59
23,-3925.15,66.2988,7000.71
24,-4640.62,64.2782,6516.41
25,-5617.04,63.7751,6573.71
26,-2326.96,65.4268,4854.71
27,-1367.93,65.5646,4245.18
28,-1427.12,65.3754,2971.81
29,-2760.54,65.3513,2916.83
30,-2828.77,64.7106,3798.88
31,-3701.44,64.1494,3760.87
32,-838.505,64.921,3351.3
33,1354.71,66.3165,2426.95
34,1332.13,65.0208,3993.32
35,479.201,65.8214,3289.42
36,-261.296,65.2711,3293.06
