0,-60.7644,86.8768,886.925
1,-70.5274,94.1332,1435.24
2,-1500.67,91.9703,986.393
3,-2663.8,90.823,958.452
4,-3180.6,90.8036,1391.12
5,-2578.12,93.0247,1883.08
6,-1452.48,96.0557,1878.78
7,-838.251,93.8411,1423.2
8,-103.059,90.2672,2376.03
9,-3885.18,93.1301,1390.29
10,-5140.9,90.9614,1399.45
11,-6238.42,90.8452,1408.28
12,-6449.66,93.742,2323.94
13,-7052.11,94.8482,2318.91
14,-7259.14,90.2212,1691.98
15,-7174.04,95.0167,910.174
16,-8185.81,95.2948,1429.12
17,-6746.97,99.4866,275.281
18,-6797.19,96.1569,2794.31
19,-6845.64,90.0039,3747.37
20,-6787.78,89.2904,4654.6
21,-6789.8,501.634,5360
22,-6780.94,499.413,5700.99
23,-7403.4,495.539,5659.17
24,-6050.07,500.711,5718.78
